Group,Category,Code,Long Desc,Short Desc
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0430,"Ambulance service, conventional air services, transport, one way (fixed wing)",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0431,"Ambulance service, conventional air services, transport, one way (rotary wing)",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0432,"Paramedic intercept (pi), rural area, transport furnished by a volunteer ambulance company which is prohibited by state law from billing third party payers",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0433,"Advanced life support, level 2 (als 2)",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0434,Specialty care transport (sct),Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0435,"Fixed wing air mileage, per statute mile",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0436,"Rotary wing air mileage, per statute mile",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0888,"Noncovered ambulance mileage, per mile (e.g., for miles traveled beyond closest appropriate facility)",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0998,"Ambulance response and treatment, no transport",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0999,Unlisted ambulance service,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2001,"Innovamatrix ac, per square centimeter",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2002,"Mirragen advanced wound matrix, per square centimeter",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2004,"Xcellistem, 1 mg",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2005,"Microlyte matrix, per square centimeter",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2006,"Novosorb synpath dermal matrix, per square centimeter",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2007,"Restrata, per square centimeter",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2008,"Theragenesis, per square centimeter",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2009,"Symphony, per square centimeter",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2010,"Apis, per square centimeter",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2011,"Supra sdrm, per square centimeter",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2012,"Suprathel, per square centimeter",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A2013,"Innovamatrix fs, per square centimeter",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4100,"Skin substitute, fda cleared as a device, not otherwise specified",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4206,"Syringe with needle, sterile, 1 cc or less, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4207,"Syringe with needle, sterile 2 cc, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4208,"Syringe with needle, sterile 3 cc, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4209,"Syringe with needle, sterile 5 cc or greater, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4210,"Needle-free injection device, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4211,Supplies for self-administered injections,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4212,Non-coring needle or stylet with or without catheter,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4213,"Syringe, sterile, 20 cc or greater, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4215,"Needle, sterile, any size, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4216,"Sterile water, saline and/or dextrose, diluent/flush, 10 ml",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4217,"Sterile water/saline, 500 ml",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4218,"Sterile saline or water, metered dose dispenser, 10 ml",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4220,Refill kit for implantable infusion pump,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4221,"Supplies for maintenance of non-insulin drug infusion catheter, per week (list drugs  separately)",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4222,"Infusion supplies for external drug infusion pump, per cassette or bag (list drugs separately)",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4223,"Infusion supplies not used with external infusion pump, per cassette or bag (list drugs separately)",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4224,"Supplies for maintenance of insulin infusion catheter, per week",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4225,"Supplies for external insulin infusion pump, syringe type cartridge, sterile, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4226,"Supplies for maintenance of insulin infusion pump with dosage rate adjustment using therapeutic continuous glucose sensing, per week",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4230,"Infusion set for external insulin pump, non needle cannula type",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4231,"Infusion set for external insulin pump, needle type",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4232,"Syringe with needle for external insulin pump, sterile, 3 cc",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4233,"Replacement battery, alkaline (other than j cell), for use with medically necessary home blood glucose monitor owned by patient, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4234,"Replacement battery, alkaline, j cell, for use with medically necessary home blood glucose monitor owned by patient, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4235,"Replacement battery, lithium, for use with medically necessary home blood glucose monitor owned by patient, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4236,"Replacement battery, silver oxide, for use with medically necessary home blood glucose monitor owned by patient, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4238,"Supply allowance for adjunctive continuous glucose monitor (cgm), includes all supplies and accessories, 1 month supply = 1 unit of service",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4244,"Alcohol or peroxide, per pint",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4245,"Alcohol wipes, per box",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4246,"Betadine or phisohex solution, per pint",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4247,"Betadine or iodine swabs/wipes, per box",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4248,"Chlorhexidine containing antiseptic, 1 ml",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4250,Urine test or reagent strips or tablets (100 tablets or strips),Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4252,"Blood ketone test or reagent strip, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4255,"Platforms for home blood glucose monitor, 50 per box",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4256,"Normal, low and high calibrator solution / chips",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4257,"Replacement lens shield cartridge for use with laser skin piercing device, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4258,"Spring-powered device for lancet, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4259,"Lancets, per box of 100",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4261,Cervical cap for contraceptive use,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4262,"Temporary, absorbable lacrimal duct implant, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4263,"Permanent, long term, non-dissolvable lacrimal duct implant, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4264,Permanent implantable contraceptive intratubal occlusion device(s) and delivery system,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4265,"Paraffin, per pound",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4266,Diaphragm for contraceptive use,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4267,"Contraceptive supply, condom, male, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4268,"Contraceptive supply, condom, female, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4269,"Contraceptive supply, spermicide (e.g., foam, gel), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4270,"Disposable endoscope sheath, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4280,"Adhesive skin support attachment for use with external breast prosthesis, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4281,"Tubing for breast pump, replacement",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4282,"Adapter for breast pump, replacement",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4283,"Cap for breast pump bottle, replacement",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4284,"Breast shield and splash protector for use with breast pump, replacement",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4285,"Polycarbonate bottle for use with breast pump, replacement",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4286,"Locking ring for breast pump, replacement",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4290,"Sacral nerve stimulation test lead, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4300,"Implantable access catheter, (e.g., venous, arterial, epidural subarachnoid, or peritoneal, etc.) external access",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4301,"Implantable access total catheter, port/reservoir (e.g., venous, arterial, epidural, subarachnoid, peritoneal, etc.)",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4305,"Disposable drug delivery system, flow rate of 50 ml or greater per hour",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4306,"Disposable drug delivery system, flow rate of less than 50 ml per hour",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4310,Insertion tray without drainage bag and without catheter (accessories only),Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4311,"Insertion tray without drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc.)",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4312,"Insertion tray without drainage bag with indwelling catheter, foley type, two-way, all silicone",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4313,"Insertion tray without drainage bag with indwelling catheter, foley type, three-way, for continuous irrigation",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4314,"Insertion tray with drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc.)",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4315,"Insertion tray with drainage bag with indwelling catheter, foley type, two-way, all silicone",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4316,"Insertion tray with drainage bag with indwelling catheter, foley type, three-way, for continuous irrigation",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4320,"Irrigation tray with bulb or piston syringe, any purpose",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4321,Therapeutic agent for urinary catheter irrigation,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4322,"Irrigation syringe, bulb or piston, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4326,"Male external catheter with integral collection chamber, any type, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4327,"Female external urinary collection device; meatal cup, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4328,"Female external urinary collection device; pouch, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4330,"Perianal fecal collection pouch with adhesive, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4331,"Extension drainage tubing, any type, any length, with connector/adaptor, for use with urinary leg bag or urostomy pouch, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4332,"Lubricant, individual sterile packet, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4333,"Urinary catheter anchoring device, adhesive skin attachment, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4334,"Urinary catheter anchoring device, leg strap, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4335,Incontinence supply; miscellaneous,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4336,"Incontinence supply, urethral insert, any type, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4337,"Incontinence supply, rectal insert, any type, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4338,"Indwelling catheter; foley type, two-way latex with coating (teflon, silicone, silicone elastomer, or hydrophilic, etc.), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4340,"Indwelling catheter; specialty type, (e.g., coude, mushroom, wing, etc.), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4344,"Indwelling catheter, foley type, two-way, all silicone, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4346,"Indwelling catheter; foley type, three way for continuous irrigation, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4349,"Male external catheter, with or without adhesive, disposable, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4351,"Intermittent urinary catheter; straight tip, with or without coating (teflon, silicone, silicone elastomer, or hydrophilic, etc.), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4352,"Intermittent urinary catheter; coude (curved) tip, with or without coating (teflon, silicone, silicone elastomeric, or hydrophilic, etc.), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4353,"Intermittent urinary catheter, with insertion supplies",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4354,Insertion tray with drainage bag but without catheter,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4355,"Irrigation tubing set for continuous bladder irrigation through a three-way indwelling foley catheter, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4356,"External urethral clamp or compression device (not to be used for catheter clamp), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4357,"Bedside drainage bag, day or night, with or without anti-reflux device, with or without tube, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4358,"Urinary drainage bag, leg or abdomen, vinyl, with or without tube, with straps, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4360,"Disposable external urethral clamp or compression device, with pad and/or pouch, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4361,"Ostomy faceplate, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4362,"Skin barrier; solid, 4 x 4 or equivalent; each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4363,"Ostomy clamp, any type, replacement only, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4364,"Adhesive, liquid or equal, any type, per oz",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4366,"Ostomy vent, any type, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4367,"Ostomy belt, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4368,"Ostomy filter, any type, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4369,"Ostomy skin barrier, liquid (spray, brush, etc.), per oz",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4371,"Ostomy skin barrier, powder, per oz",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4372,"Ostomy skin barrier, solid 4 x 4 or equivalent, standard wear, with built-in convexity, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4373,"Ostomy skin barrier, with flange (solid, flexible or accordion), with built-in convexity, any size, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4375,"Ostomy pouch, drainable, with faceplate attached, plastic, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4376,"Ostomy pouch, drainable, with faceplate attached, rubber, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4377,"Ostomy pouch, drainable, for use on faceplate, plastic, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4378,"Ostomy pouch, drainable, for use on faceplate, rubber, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4379,"Ostomy pouch, urinary, with faceplate attached, plastic, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4380,"Ostomy pouch, urinary, with faceplate attached, rubber, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4381,"Ostomy pouch, urinary, for use on faceplate, plastic, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4382,"Ostomy pouch, urinary, for use on faceplate, heavy plastic, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4383,"Ostomy pouch, urinary, for use on faceplate, rubber, each",Transport parking fees/tolls
